lga,total_facilities,primary_count,secondary_count,tertiary_count,public_count,private_count
Kankara,105,104,1,0,101,3
Bakori,104,104,0,0,97,6
Batsari,89,88,1,0,89,0
Batagarawa,87,84,3,0,87,0
Katsina,86,75,8,3,63,21
Malumfashi,82,79,3,0,72,9
Kafur,81,81,0,0,76,4
Musawa,80,79,1,0,78,1
Charanchi,80,78,2,0,76,2
Bindawa,77,77,0,0,74,1
Funtua,71,63,8,0,64,7
Rimi,70,69,1,0,68,0
Mani,69,69,0,0,68,1
Kankia,68,67,1,0,61,7
Mai'Adua,66,66,0,0,65,1
Dandume,65,64,1,0,60,5
Ingawa,65,64,1,0,65,0
Dutsin-Ma,64,62,2,0,62,2
Baure,64,62,2,0,64,0
Mashi,64,64,0,0,63,1
Danja,63,63,0,0,59,3
Jibia,60,58,2,0,58,2
Faskari,60,60,0,0,60,0
Kurfi,59,57,2,0,58,1
Dan Musa,58,56,2,0,56,1
Matazu,58,58,0,0,57,0
Kaita,57,57,0,0,57,0
Safana,57,57,0,0,56,0
Sabuwa,54,54,0,0,52,2
Dutsi,53,53,0,0,52,1
Kusada,49,49,0,0,49,0
Sandamu,49,48,0,1,49,0
Zango,42,42,0,0,42,0
Daura,39,38,1,0,36,3
Birnin Gwari,1,1,0,0,1,0
