LGA,total_displaced_individuals,total_displaced_hh,children_under5,children_under5_f,infants,infants_f,pregnant_women,num_sites,children_under5_total,infants_total,state,displacement_score,child_displacement_score
Bakori,4991,674,321,327,143,150,212,18,648,293,Katsina,8.1,6.5
Batagarawa,9150,1308,535,818,193,291,167,25,1353,484,Katsina,14.8,13.5
Batsari,61984,9140,4932,5058,2879,3137,1833,28,9990,6016,Katsina,100.0,100.0
Baure,4526,634,191,241,144,180,110,17,432,324,Katsina,7.3,4.3
Bindawa,2134,296,114,229,68,118,32,9,343,186,Katsina,3.4,3.4
Charanchi,4177,629,220,272,149,180,88,12,492,329,Katsina,6.7,4.9
Dan Musa,17077,2707,1306,1588,385,465,529,18,2894,850,Katsina,27.6,29.0
Dandume,2786,398,177,226,125,158,135,9,403,283,Katsina,4.5,4.0
Danja,1728,223,78,106,41,58,46,10,184,99,Katsina,2.8,1.8
Daura,1739,220,139,189,70,104,50,14,328,174,Katsina,2.8,3.3
Dutsi,1240,185,53,73,32,46,36,5,126,78,Katsina,2.0,1.3
Dutsin-Ma,17847,2448,1367,1660,400,487,377,14,3027,887,Katsina,28.8,30.3
Faskari,11456,1456,1059,1055,285,324,349,14,2114,609,Katsina,18.5,21.2
Funtua,9907,1334,265,383,142,217,157,17,648,359,Katsina,16.0,6.5
Ingawa,933,138,71,87,43,50,31,4,158,93,Katsina,1.5,1.6
Jibia,8861,1265,525,805,175,267,203,12,1330,442,Katsina,14.3,13.3
Kafur,5899,764,363,578,206,324,49,9,941,530,Katsina,9.5,9.4
Kaita,3332,440,167,202,73,95,149,18,369,168,Katsina,5.4,3.7
Kankara,17447,2522,1098,1203,886,1004,176,21,2301,1890,Katsina,28.1,23.0
Kankia,6207,794,421,498,224,275,156,16,919,499,Katsina,10.0,9.2
Katsina,16973,2361,1125,1491,607,829,865,30,2616,1436,Katsina,27.4,26.2
Kurfi,6511,918,461,570,345,483,284,18,1031,828,Katsina,10.5,10.3
Kusada,1085,178,67,90,43,54,20,6,157,97,Katsina,1.8,1.6
Mai'Adua,1085,169,69,85,47,61,76,10,154,108,Katsina,1.8,1.5
Malumfashi,5418,738,255,322,120,152,275,14,577,272,Katsina,8.7,5.8
Mani,1814,257,66,97,19,32,28,14,163,51,Katsina,2.9,1.6
Mashi,1246,178,44,69,21,25,23,11,113,46,Katsina,2.0,1.1
Matazu,5335,719,364,461,260,353,292,11,825,613,Katsina,8.6,8.3
Musawa,8665,1154,496,717,143,204,216,20,1213,347,Katsina,14.0,12.1
Rimi,2112,264,142,161,34,41,137,9,303,75,Katsina,3.4,3.0
Sabuwa,614,85,35,51,9,15,15,2,86,24,Katsina,1.0,0.9
Safana,9636,1335,694,766,553,623,566,19,1460,1176,Katsina,15.5,14.6
Sandamu,3170,412,257,331,146,162,89,17,588,308,Katsina,5.1,5.9
Zango,2198,314,174,213,42,58,117,10,387,100,Katsina,3.5,3.9
