state,lga,final_severity,population
Adamawa,Demsa,3,285016
Adamawa,Fufore,2,443009
Adamawa,Ganye,2,310190
Adamawa,Girei,3,250604
Adamawa,Gombi,3,290858
Adamawa,Guyuk,3,251727
Adamawa,Hong,2,304190
Adamawa,Jada,2,315353
Adamawa,Lamurde,2,197983
Adamawa,Madagali,3,245471
Adamawa,Maiha,2,188095
Adamawa,Mayo-Belwa,2,313081
Adamawa,Michika,3,262408
Adamawa,Mubi North,3,292264
Adamawa,Mubi South,3,266030
Adamawa,Numan,3,165015
Adamawa,Shelleng,2,248189
Adamawa,Song,3,381422
Adamawa,Toungo,2,101975
Adamawa,Yola North,2,323370
Adamawa,Yola South,2,570233
Borno,Abadam,2,80385
Borno,Askira/Uba,2,245197
Borno,Bama,3,233112
Borno,Bayo,2,234872
Borno,Biu,3,450926
Borno,Chibok,3,110736
Borno,Damboa,3,176533
Borno,Dikwa,4,139920
Borno,Gubio,4,206460
Borno,Guzamala,3,62747
Borno,Gwoza,3,267125
Borno,Hawul,2,253981
Borno,Jere,4,866216
Borno,Kaga,3,116624
Borno,Kala/Balge,3,40949
Borno,Konduga,4,270899
Borno,Kukawa,3,85387
Borno,Kwaya Kusar,2,158091
Borno,Mafa,3,131460
Borno,Magumeri,4,176214
Borno,Maiduguri,4,1103204
Borno,Marte,3,30137
Borno,Mobbar,4,228943
Borno,Monguno,4,216350
Borno,Ngala,4,223119
Borno,Nganzai,3,86859
Borno,Shani,2,285029
Yobe,Bade,3,261693
Yobe,Bursari,3,230780
Yobe,Damaturu,3,421155
Yobe,Fika,3,373708
Yobe,Fune,3,589857
Yobe,Geidam,3,292654
Yobe,Gujba,3,265788
Yobe,Gulani,3,369438
Yobe,Jakusko,3,326685
Yobe,Karasuwa,3,179478
Yobe,Machina,3,127524
Yobe,Nangere,3,263768
Yobe,Nguru,3,253951
Yobe,Potiskum,3,676494
Yobe,Tarmua,3,147478
Yobe,Yunusari,3,292431
Yobe,Yusufari,1,298016
